"flnatureza";"nmprimeiro";"nmsegundo";"dscep";"dsdocumento"
2;"Tânia";"Lima";"56330-075";"316.155.272-57"
1;"Raissa";"Gomes";"17032-025";"374.087.618-29"
2;"Kauan";"Dias";"23573-150";"504.563.288-40"
1;"Livia";"Santos";"17035-805";"944.146.605-05"
1;"Guilherme";"Gomes";"09321-255";"595.319.191-00"
1;"Carla";"Souza";"06654-070";"455.303.180-96"
1;"Maria";"Cardoso";"35900-046";"619.583.617-63"
1;"Giovana";"Araujo";"73755-233";"557.824.594-33"
2;"Beatrice";"Silva";"36087-005";"846.305.916-30"
2;"Manuela";"Castro";"14806-175";"391.422.372-38"
1;"Carlos";"Cardoso";"61625-220";"323.632.828-25"
2;"Anna";"Silva";"11030-603";"880.770.141-35"
1;"Mariana";"Pereira";"74340-400";"250.312.104-78"
2;"Yasmin";"Souza";"93534-290";"735.849.906-96"
1;"Isabella";"Cavalcanti";"12243-200";"906.657.952-89"
2;"Tiago";"Barbosa";"11718-135";"481.803.262-09"
1;"Brenda";"Pereira";"06213-080";"458.479.365-40"
2;"Eduardo";"Pinto";"55014-140";"964.481.639-05"
1;"Samuel";"Cunha";"38017-040";"684.096.130-34"
1;"Emilly";"Rocha";"54160-613";"713.283.339-14"
1;"Danilo";"Cardoso";"40327-715";"247.226.134-94"
1;"Martim";"Sousa";"44023-640";"496.634.168-07"
1;"Daniel";"Costa";"78005-100";"956.486.871-84"
2;"Laura";"Castro";"97020-580";"454.590.709-10"
1;"Camila";"Oliveira";"33045-680";"570.794.571-73"
2;"Kauan";"Alves";"13611-307";"287.733.188-17"
2;"Isabella";"Correia";"71825-218";"780.945.531-11"
1;"Manuela";"Cavalcanti";"60871-390";"178.361.741-15"
1;"Carolina";"Almeida";"13088-609";"891.152.980-00"
1;"Isabella";"Azevedo";"32070-630";"173.142.401-91"
1;"Emilly";"Cavalcanti";"82810-080";"525.369.353-02"
2;"Kauê";"Rocha";"36013-011";"957.684.021-01"
2;"Douglas";"Melo";"30510-085";"443.268.127-61"
2;"Miguel";"Alves";"13059-644";"830.023.300-86"
2;"Samuel";"Correia";"79822-100";"343.482.921-08"
1;"Thaís";"Cunha";"77420-410";"566.079.144-11"
1;"Gabrielly";"Cavalcanti";"18135-681";"182.805.199-39"
1;"Júlia";"Cardoso";"89053-178";"235.238.255-63"
1;"Tiago";"Pinto";"35661-294";"272.245.701-68"
1;"Rafaela";"Lima";"24710-760";"826.770.798-01"
1;"Alice";"Rocha";"54080-391";"735.573.215-33"
1;"Leonardo";"Rocha";"12247-370";"390.554.797-05"
2;"Vitor";"Melo";"12062-650";"479.463.426-91"
1;"Gustavo";"Santos";"24750-105";"134.461.223-70"
1;"Fábio";"Gomes";"25042-020";"751.298.390-56"
2;"Lavinia";"Ferreira";"88503-072";"357.556.744-18"
1;"Gabriel";"Cardoso";"74665-360";"916.697.579-43"
1;"Julia";"Goncalves";"54759-615";"532.376.955-64"
1;"Renan";"Azevedo";"25550-330";"845.545.985-94"
1;"Eduarda";"Correia";"89229-121";"923.555.386-54"
1;"Beatrice";"Pereira";"30315-250";"392.299.112-24"
1;"Emily";"Alves";"25976-365";"483.259.949-67"
2;"André";"Castro";"66025-160";"495.032.818-22"
1;"Estevan";"Gomes";"18279-180";"426.364.832-33"
1;"José";"Cavalcanti";"75904-240";"870.672.260-15"
2;"Gabriela";"Barros";"56906-040";"350.634.847-78"
1;"Lucas";"Rodrigues";"94170-360";"526.050.154-32"
1;"Leonor";"Alves";"11677-800";"307.887.084-73"
2;"André";"Barros";"70658-700";"209.761.949-53"
1;"Kauê";"Cardoso";"57075-535";"864.801.668-17"
2;"Felipe";"Barbosa";"57045-780";"506.273.110-08"
1;"Eduarda";"Ribeiro";"35680-413";"435.066.279-02"
2;"Livia";"Goncalves";"35701-109";"134.755.446-79"
1;"Isabelle";"Souza";"44031-250";"953.619.885-10"
2;"Luiz";"Pinto";"32636-320";"356.058.377-29"
1;"Rafaela";"Rodrigues";"04870-260";"943.202.206-41"
2;"Breno";"Goncalves";"25510-430";"736.681.967-02"
1;"Raissa";"Gomes";"11713-160";"855.035.166-05"
1;"Fábio";"Alves";"37709-045";"960.428.015-54"
1;"Mariana";"Gomes";"75807-465";"796.359.770-85"
1;"Felipe";"Rocha";"62020-720";"739.317.390-58"
2;"Nicole";"Cunha";"17055-170";"964.108.998-66"
2;"Gabriela";"Cardoso";"26410-340";"475.762.917-61"
2;"Letícia";"Costa";"48603-210";"862.425.783-28"
2;"Igor";"Ribeiro";"02965-150";"971.123.625-71"
1;"Kauã";"Pereira";"27541-010";"111.832.923-68"
2;"Isabelle";"Rodrigues";"06033-250";"497.908.625-04"
2;"Leonor";"Silva";"86812-145";"714.276.061-37"
1;"Kaua";"Sousa";"13570-323";"195.102.447-83"
1;"Enzo";"Ferreira";"72331-302";"544.009.419-90"
2;"Davi";"Ferreira";"30810-410";"418.897.759-08"
2;"Evelyn";"Alves";"74313-080";"227.374.187-12"
1;"Raissa";"Castro";"35660-417";"311.334.126-45"
1;"Felipe";"Sousa";"88805-165";"122.639.827-87"
2;"Davi";"Barros";"58107-320";"245.271.178-07"
1;"Vinícius";"Alves";"79034-010";"228.040.734-59"
2;"Martim";"Araujo";"06160-190";"449.534.210-00"
2;"Ágatha";"Oliveira";"72415-514";"547.602.652-52"
2;"Ana";"Goncalves";"02844-040";"484.973.624-62"
1;"Davi";"Azevedo";"59129-540";"525.972.024-53"
1;"Breno";"Ribeiro";"35162-043";"104.828.698-36"
2;"Isabelle";"Barbosa";"27525-020";"344.666.031-38"
2;"Tomás";"Cunha";"08071-175";"241.167.170-96"
2;"Alice";"Dias";"09530-430";"833.709.663-28"
1;"José";"Silva";"81910-550";"841.815.054-80"
1;"Douglas";"Goncalves";"32015-400";"720.862.808-40"
2;"Erick";"Dias";"38440-006";"800.649.750-88"
1;"Raissa";"Martins";"77064-540";"201.569.491-99"
1;"Igor";"Castro";"14061-304";"620.416.932-74"
1;"Igor";"Ribeiro";"77062-058";"112.640.793-38"
2;"Luiza";"Silva";"09361-383";"394.818.988-90"
2;"Amanda";"Cavalcanti";"24050-030";"279.047.329-39"
1;"Clara";"Souza";"74470-526";"129.027.988-81"
2;"Raissa";"Ribeiro";"18601-010";"244.914.805-16"
2;"Marisa";"Martins";"82130-040";"317.160.366-74"
2;"Paulo";"Rodrigues";"58300-310";"147.106.022-55"
2;"Marina";"Sousa";"19065-660";"300.044.973-68"
1;"Júlia";"Barbosa";"18700-241";"386.680.898-46"
2;"Nicolash";"Silva";"96425-140";"658.675.499-25"
1;"Aline";"Pinto";"23031-120";"600.625.437-92"
1;"Amanda";"Fernandes";"02074-001";"300.213.515-11"
2;"Breno";"Fernandes";"11440-110";"126.237.853-25"
1;"Kauã";"Costa";"52121-130";"403.221.144-20"
1;"Thaís";"Araujo";"88705-430";"203.476.014-05"
2;"Bianca";"Gomes";"41706-150";"430.205.364-05"
1;"Maria";"Costa";"08270-640";"882.390.114-62"
1;"Camila";"Carvalho";"13801-157";"750.306.246-00"
1;"Thaís";"Dias";"53610-240";"904.757.424-94"
1;"Fernanda";"Pinto";"80740-480";"302.126.685-10"
1;"Luiza";"Carvalho";"32044-369";"246.905.427-32"
1;"Julian";"Ribeiro";"13901-007";"698.541.773-60"
2;"Clara";"Castro";"11013-580";"885.377.477-00"
1;"Ana";"Carvalho";"60832-171";"662.005.920-12"
1;"Vitor";"Pinto";"05890-050";"919.567.521-37"
1;"Kauê";"Fernandes";"45606-621";"921.191.631-38"
2;"Fernanda";"Gomes";"31080-130";"217.009.874-70"
1;"Isabella";"Souza";"06543-230";"121.118.637-77"
2;"Thiago";"Gomes";"18401-060";"698.989.513-62"
2;"Enzo";"Ferreira";"91120-031";"579.489.084-39"
2;"Leonardo";"Correia";"60822-420";"564.567.000-00"
1;"Yasmin";"Castro";"27430-200";"135.846.234-80"
2;"Samuel";"Carvalho";"24315-165";"315.237.283-37"
2;"João";"Pereira";"71575-500";"178.634.267-74"
2;"Leonor";"Araujo";"40710-505";"362.162.132-61"
1;"André";"Lima";"11030-490";"656.492.866-12"
1;"Gabriela";"Almeida";"35660-089";"726.389.424-64"
2;"Kauan";"Melo";"50800-090";"701.788.430-24"
1;"Leonardo";"Dias";"74377-275";"508.076.320-58"
2;"Gabriel";"Goncalves";"78158-748";"463.814.257-50"
1;"Emily";"Ferreira";"97575-570";"934.556.323-78"
2;"Vitor";"Fernandes";"13092-802";"644.004.991-70"
2;"Rafaela";"Lima";"36072-175";"524.228.518-43"
2;"Emilly";"Souza";"13254-631";"214.191.277-64"
2;"Lavinia";"Araujo";"60542-800";"597.424.484-26"
2;"Leila";"Sousa";"45997-210";"969.941.692-00"
2;"Samuel";"Ribeiro";"41215-840";"522.244.916-54"
1;"Danilo";"Rodrigues";"30570-740";"878.271.151-87"
1;"Caio";"Dias";"15047-171";"829.850.382-19"
1;"Kauê";"Barbosa";"89058-240";"531.049.507-09"
1;"Erick";"Rodrigues";"13054-539";"284.988.044-26"
2;"Eduarda";"Cavalcanti";"70610-620";"263.941.976-53"
2;"Samuel";"Sousa";"58075-425";"364.437.693-09"
1;"Emilly";"Correia";"68906-170";"254.269.186-00"
1;"Giovanna";"Pereira";"57307-070";"257.726.230-28"
1;"Raissa";"Dias";"04857-205";"169.006.289-40"
2;"Giovana";"Gomes";"38413-378";"260.417.186-45"
2;"Rafaela";"Cavalcanti";"37014-750";"572.310.539-63"
2;"Bianca";"Costa";"02344-060";"768.214.132-82"
1;"Danilo";"Dias";"41194-150";"186.922.251-26"
1;"Bruno";"Rodrigues";"13323-050";"993.479.970-72"
1;"Beatriz";"Melo";"62020-310";"609.699.826-74"
2;"Pedro";"Rocha";"13341-632";"217.257.198-94"
1;"Tomás";"Cardoso";"03367-050";"667.715.525-00"
2;"Evelyn";"Correia";"30640-740";"698.725.116-91"
2;"Paulo";"Barros";"57020-460";"233.680.305-40"
1;"Júlia";"Rodrigues";"18410-110";"711.451.179-53"
2;"Julian";"Araujo";"74987-540";"669.518.304-01"
1;"Giovanna";"Cardoso";"15042-055";"181.221.019-17"
1;"Eduardo";"Ferreira";"08020-320";"595.322.043-00"
1;"Letícia";"Pinto";"13058-652";"415.098.051-92"
1;"Breno";"Dias";"89221-740";"910.702.090-23"
1;"Sarah";"Melo";"29106-560";"796.585.149-01"
1;"Enzo";"Cardoso";"55022-500";"642.660.398-83"
1;"Murilo";"Fernandes";"38022-060";"629.484.833-44"
1;"Rafael";"Lima";"68030-330";"141.279.345-90"
2;"Vitór";"Barbosa";"60867-180";"454.828.257-28"
2;"Vitória";"Cardoso";"40730-520";"674.455.023-35"
1;"Isabela";"Silva";"04520-013";"511.380.294-83"
1;"Igor";"Cavalcanti";"94510-420";"376.051.212-70"
2;"Antônio";"Pereira";"12227-852";"998.120.099-90"
1;"Brenda";"Cardoso";"12603-040";"100.734.311-76"
1;"Douglas";"Silva";"72318-532";"638.741.637-09"
1;"Luiz";"Cavalcanti";"03310-045";"115.286.406-83"
2;"Luiza";"Pinto";"50060-470";"217.213.942-49"
2;"Rafael";"Castro";"94858-230";"244.516.030-80"
2;"Enzo";"Pinto";"96015-590";"205.372.170-70"
1;"Vitoria";"Cunha";"31990-465";"221.186.621-22"
2;"Rafaela";"Sousa";"18706-565";"964.420.895-17"
2;"Martim";"Melo";"86080-085";"559.091.659-33"
2;"Vitor";"Barros";"03625-090";"292.319.921-98"
1;"José";"Lima";"17055-490";"561.118.337-90"
2;"Kauã";"Cavalcanti";"06608-130";"922.737.409-48"
2;"Ana";"Oliveira";"06660-280";"630.043.006-56"
2;"Laura";"Correia";"98805-760";"264.061.316-22"
1;"Beatriz";"Pinto";"11370-110";"979.427.857-26"
1;"Luan";"Rodrigues";"37706-299";"527.755.705-93"
1;"Marina";"Souza";"81220-320";"503.952.430-76"
2;"Lavinia";"Costa";"60850-390";"725.191.553-70"
1;"Nicole";"Souza";"58102-013";"193.256.406-35"
1;"Murilo";"Oliveira";"55024-230";"487.767.421-72"
1;"Fábio";"Lima";"02019-010";"164.888.205-67"
2;"Manuela";"Goncalves";"01214-000";"736.359.647-60"
2;"Renan";"Azevedo";"08655-731";"292.126.279-78"
2;"Nicolas";"Almeida";"38304-218";"954.307.081-43"
2;"Caio";"Costa";"88308-416";"160.205.527-05"
1;"Thaís";"Ribeiro";"87010-380";"495.086.378-97"
2;"Luis";"Silva";"71020-238";"345.763.233-26"
2;"Thaís";"Santos";"39404-212";"291.479.591-26"
1;"Luis";"Costa";"35501-134";"910.273.160-69"
2;"Thaís";"Goncalves";"38401-294";"553.870.583-83"
1;"Alex";"Correia";"81710-110";"470.106.671-01"
2;"Carolina";"Sousa";"04236-052";"824.050.917-71"
1;"Livia";"Cavalcanti";"93054-460";"945.650.910-97"
2;"Vitor";"Dias";"74477-077";"212.735.570-93"
1;"Emily";"Barbosa";"69028-213";"790.032.961-70"
2;"Leila";"Dias";"40330-520";"680.423.759-56"
1;"Luiz";"Ribeiro";"27273-505";"867.237.681-16"
1;"Diego";"Azevedo";"06402-070";"792.746.640-28"
2;"Isabelle";"Araujo";"18682-630";"828.865.874-19"
1;"Lara";"Cardoso";"29031-715";"448.965.310-78"
1;"Evelyn";"Barros";"25955-690";"888.120.509-21"
2;"Carolina";"Oliveira";"06065-395";"114.763.501-32"
1;"Vitor";"Pinto";"04423-020";"258.544.628-00"
1;"Gabriel";"Rodrigues";"72215-044";"976.374.575-67"
2;"Arthur";"Lima";"13278-350";"346.962.855-61"
2;"Vitória";"Pinto";"13057-503";"535.337.181-07"
2;"Sofia";"Costa";"72870-115";"520.944.118-00"
1;"Marisa";"Araujo";"75064-420";"369.104.897-80"
1;"Larissa";"Pereira";"35701-433";"870.613.676-10"
2;"Thiago";"Dias";"74477-035";"113.701.952-22"
1;"Pedro";"Melo";"08490-600";"770.072.078-98"
2;"Emily";"Ribeiro";"29065-710";"521.665.668-55"
2;"Douglas";"Araujo";"26120-300";"812.652.183-07"
2;"Isabella";"Cunha";"38410-294";"358.744.968-66"
2;"Bruna";"Dias";"74463-833";"778.151.731-87"
2;"Victor";"Azevedo";"60520-031";"226.709.835-02"
2;"Tânia";"Rodrigues";"13481-117";"390.540.575-05"
1;"Douglas";"Melo";"74594-104";"783.760.534-93"
2;"Gabrielly";"Cunha";"19803-317";"853.534.865-44"
2;"Lucas";"Pinto";"05763-510";"693.622.329-01"
2;"Rebeca";"Barbosa";"58804-000";"443.776.798-56"
2;"Leonardo";"Cunha";"04363-001";"584.714.859-31"
2;"Gabrielly";"Pereira";"31010-080";"541.596.718-45"
2;"Ágatha";"Almeida";"13502-416";"787.856.631-31"
2;"Julian";"Alves";"32041-240";"512.073.317-40"
1;"Carlos";"Carvalho";"30390-150";"791.891.379-57"
1;"Murilo";"Ribeiro";"35700-208";"821.619.459-55"
2;"Leonor";"Pinto";"55012-710";"565.679.332-08"
1;"Eduarda";"Cunha";"17054-175";"484.253.926-75"
1;"Livia";"Costa";"91520-040";"146.995.917-87"
2;"Nicolas";"Santos";"17031-350";"703.504.303-90"
1;"Manuela";"Araujo";"29177-520";"273.861.670-40"
1;"Danilo";"Costa";"78090-308";"259.380.874-81"
2;"Sophia";"Oliveira";"54130-230";"233.639.212-76"
2;"Letícia";"Sousa";"94425-130";"458.229.012-47"
1;"Marisa";"Gomes";"68909-149";"563.220.367-00"
1;"Letícia";"Barros";"09811-200";"799.370.437-51"
2;"Erick";"Martins";"12246-071";"935.965.758-18"
1;"Otávio";"Cavalcanti";"94480-550";"610.793.615-70"
1;"Caio";"Barros";"16080-303";"491.111.906-39"
2;"Carla";"Lima";"68505-380";"541.108.076-20"
1;"Breno";"Ribeiro";"79085-026";"220.529.777-59"
2;"Tiago";"Rodrigues";"73755-179";"197.200.969-93"
2;"Leonardo";"Castro";"23090-830";"768.624.189-04"
2;"Gabrielly";"Correia";"04512-040";"293.342.063-57"
2;"João";"Gomes";"50791-161";"277.807.237-39"
2;"Nicole";"Souza";"17501-480";"525.049.773-01"
2;"Carlos";"Castro";"61656-010";"410.294.313-70"
2;"Maria";"Ferreira";"09850-650";"628.001.445-21"
2;"Leonor";"Oliveira";"60710-350";"210.970.997-92"
2;"Kaua";"Cavalcanti";"75083-370";"217.278.141-00"
2;"Danilo";"Cardoso";"74967-380";"734.974.596-66"
2;"Davi";"Dias";"95050-320";"968.333.812-75"
2;"Bianca";"Oliveira";"13454-365";"442.703.818-25"
2;"Ana";"Dias";"80330-220";"932.804.285-21"
2;"Estevan";"Cavalcanti";"12445-190";"368.232.271-09"
1;"Luana";"Pereira";"94175-240";"440.465.021-34"
1;"Luís";"Goncalves";"25550-160";"977.294.764-10"
2;"Luís";"Cunha";"70755-050";"444.480.243-00"
1;"Marina";"Correia";"68625-290";"735.363.740-42"
1;"Livia";"Oliveira";"58082-013";"771.378.878-64"
2;"Alice";"Barbosa";"38700-122";"345.143.159-90"
1;"Luana";"Silva";"91160-660";"963.574.645-89"
2;"Luís";"Pinto";"07025-020";"269.158.097-08"
2;"Cauã";"Pereira";"14177-319";"944.446.118-12"
1;"Rebeca";"Oliveira";"04931-080";"484.781.558-05"
1;"Matilde";"Oliveira";"94065-340";"321.794.501-84"
2;"Lara";"Dias";"69082-660";"184.587.663-61"
1;"Evelyn";"Araujo";"13045-430";"607.822.876-54"
1;"Melissa";"Carvalho";"03088-080";"459.807.317-92"
2;"Igor";"Cunha";"06420-390";"946.533.927-06"
2;"Thaís";"Barros";"71070-117";"382.263.969-99"
1;"Camila";"Gomes";"15020-220";"247.923.487-81"
1;"Felipe";"Sousa";"49088-120";"997.862.669-78"
1;"Bruno";"Correia";"60861-440";"877.548.223-18"
2;"Eduarda";"Oliveira";"31370-140";"490.654.753-20"
1;"Maria";"Costa";"57313-090";"250.160.243-91"
2;"Marina";"Barbosa";"75712-520";"425.294.102-40"
2;"Alex";"Silva";"04247-002";"594.769.128-04"
1;"Vitória";"Ferreira";"26361-230";"830.396.004-00"
2;"Letícia";"Souza";"24320-226";"473.381.685-55"
1;"Douglas";"Cunha";"09856-330";"672.862.873-89"
1;"Amanda";"Azevedo";"73040-631";"211.084.182-60"
2;"Emily";"Goncalves";"77001-747";"351.088.122-21"
2;"Luana";"Ribeiro";"38408-136";"497.257.599-90"
1;"Maria";"Fernandes";"26112-660";"599.189.550-31"
1;"Vitor";"Ribeiro";"18079-003";"716.646.003-29"
2;"Luiz";"Cardoso";"06090-010";"690.424.371-62"
2;"Gabriela";"Souza";"25225-730";"686.660.108-86"
1;"Rafaela";"Carvalho";"54330-800";"407.585.593-72"
1;"Eduardo";"Costa";"12248-390";"351.167.255-45"
1;"Thaís";"Lima";"23013-670";"203.243.986-70"
1;"Isabelle";"Ferreira";"06463-283";"106.065.546-29"
2;"Diego";"Castro";"17607-370";"245.606.731-28"
2;"Rodrigo";"Oliveira";"28090-420";"225.135.951-65"
2;"Isabela";"Oliveira";"74914-648";"485.719.862-23"
2;"Beatrice";"Almeida";"74475-179";"711.038.010-66"
1;"Rodrigo";"Rocha";"18201-604";"311.537.724-00"
1;"Anna";"Goncalves";"35501-182";"281.610.147-95"
1;"Sophia";"Alves";"62041-385";"795.204.573-30"
2;"José";"Oliveira";"03682-120";"823.364.295-94"
2;"Beatrice";"Santos";"08580-260";"667.933.445-44"
2;"Maria";"Almeida";"66110-019";"498.508.654-15"
1;"Sophia";"Souza";"05660-010";"240.708.661-91"
2;"Eduardo";"Castro";"26359-030";"438.045.513-00"
1;"Larissa";"Araujo";"14051-470";"812.877.702-58"
1;"Ágatha";"Cardoso";"06694-190";"896.926.724-76"
1;"Vitór";"Araujo";"22250-200";"555.265.983-06"
1;"Sophia";"Silva";"31995-090";"279.631.182-14"
1;"Douglas";"Pereira";"13480-480";"442.235.447-72"
1;"João";"Barros";"06604-080";"708.872.402-24"
1;"Davi";"Pinto";"71727-125";"277.844.539-06"
2;"Sarah";"Souza";"09732-500";"519.407.583-94"
1;"Diogo";"Ferreira";"03449-090";"711.434.175-00"
2;"Kauê";"Rodrigues";"17057-657";"537.244.921-70"
2;"Rafaela";"Ferreira";"13100-413";"241.223.946-00"
1;"Fábio";"Fernandes";"37904-450";"121.675.459-40"
2;"Mariana";"Barbosa";"81110-140";"405.229.670-27"
2;"Cauã";"Silva";"13401-419";"537.908.912-74"
1;"Leonor";"Santos";"75095-720";"797.156.339-60"
1;"Beatrice";"Souza";"35501-465";"618.344.223-29"
1;"Camila";"Dias";"13251-420";"804.176.962-48"
1;"Nicole";"Ribeiro";"56509-500";"864.176.403-88"
1;"Brenda";"Cunha";"26377-190";"960.778.226-71"
1;"Julian";"Almeida";"99010-035";"323.397.714-04"
1;"Sarah";"Oliveira";"70380-764";"774.155.057-86"
1;"Luan";"Carvalho";"79810-050";"122.126.246-70"
1;"Melissa";"Carvalho";"09360-355";"599.905.512-19"
2;"Giovana";"Silva";"68746-550";"606.718.288-27"
2;"Yasmin";"Carvalho";"26376-370";"356.938.585-02"
2;"Kauê";"Sousa";"06381-290";"661.108.841-54"
1;"Clara";"Costa";"14075-516";"959.576.463-93"
2;"Carlos";"Barros";"11709-250";"539.590.985-02"
2;"Felipe";"Cunha";"03927-240";"976.530.002-66"
2;"Breno";"Lima";"26190-370";"725.645.017-61"
1;"Erick";"Melo";"78910-491";"143.041.558-49"
2;"Carla";"Fernandes";"29060-090";"695.361.430-70"
2;"Julian";"Almeida";"89809-523";"697.600.573-01"
2;"Carlos";"Gomes";"25245-640";"839.840.660-74"
